"trackid","DisasterID","DisasterName","lastname","firstname","dob","age","sex","uniqueID","imgptr","agency","agentID","agentname","agentcontactinfo","agentnote","searchername","searchernote","searchercontactinfo"
"STUTCH0000","201104ALabama","Alabama Tornador of April 2011","Stutchman","Jane",8/9/1968 0:00:00,44,"F",,"4f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Stutchman came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"NICHOL0000","201104ALabama","Alabama Tornador of April 2011","Nicholas","Jane",11/8/1973 0:00:00,39,"F",,"9f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Nicholas came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"STUTCH0001","201104ALabama","Alabama Tornador of April 2011","Stutchman","John",4/21/1966 0:00:00,46,"M",,"6m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Stutchman was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"RICHAR0000","201104ALabama","Alabama Tornador of April 2011","Richardson","John",11/25/1981 0:00:00,31,"M",,"1m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Richardson was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"BADGER0000","201104ALabama","Alabama Tornador of April 2011","Badger","Jane",3/17/1979 0:00:00,33,"F",,"3f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Badger came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"SWOPES0002","201104ALabama","Alabama Tornador of April 2011","Swopes","Jane",1/2/1972 0:00:00,40,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Swopes came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"SWOPES0003","201104ALabama","Alabama Tornador of April 2011","Swopes","John",3/18/1978 0:00:00,34,"M",,"4m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Swopes was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"BADGER0001","201104ALabama","Alabama Tornador of April 2011","Badger","Jane",3/17/1979 0:00:00,33,"F",,"3f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Badger came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"TRUONT0000","201104ALabama","Alabama Tornador of April 2011","Truong","John",12/13/1980 0:00:00,32,"M",,"2m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Truong was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"ALFORD0000","201104ALabama","Alabama Tornador of April 2011","Alford","Jane",5/14/1981 0:00:00,31,"F",,"1f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jane Alford came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
"TERRY0000","201104ALabama","Alabama Tornador of April 2011","Terry","John",12/15/1981 0:00:00,31,"M",,"1m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Terry was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"CASTRO0000","201104ALabama","Alabama Tornador of April 2011","Castro","John",11/16/1981 0:00:00,31,"M",,"1m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Castro was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
"REYNA0000","201104ALabama","Alabama Tornador of April 2011","Reyna","John",2/17/1981 0:00:00,31,"M",,"1m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","John Reyna was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
